"name","size"
"typeB_gumma_2020_12.zip", 496.96M
"typeB_hiroshima_2020_12.zip", 181.71M
"typeB_hyogo_2020_12.zip", 489.98M
"typeB_ishikawa_2020_12.zip", 344.41M
"typeB_kagawa_2020_12.zip", 172.39M
"typeB_kagoshima_2020_12.zip", 459.01M
"typeB_kanagawa_2020_12.zip",   1.54G
"typeB_kochi_2020_12.zip", 261.3M
"typeB_kumamoto_2020_12.zip", 585.82M
"typeB_kyoto_2020_12.zip", 599.37M
"typeB_mie_2020_12.zip", 227.25M
"typeB_miyazaki_2020_12.zip", 385.91M
